"genes"	"modules"
"1"	"HBB"	"M1"
"2"	"HBA2"	"M1"
"3"	"HBA1"	"M1"
"4"	"ACTB"	"M1"
"5"	"MT.CO1"	"M1"
"6"	"MT.ND4"	"M1"
"7"	"GAPDH"	"M1"
"8"	"NAMPT"	"M1"
"9"	"SELL"	"M1"
"10"	"SLC2A3"	"M1"
"11"	"TXNIP"	"M1"
"12"	"S100A9"	"M1"
"13"	"ACSL1"	"M1"
"14"	"EVI2B"	"M1"
"15"	"ITM2B"	"M1"
"16"	"CSF3R"	"M1"
"17"	"SLC25A37"	"M1"
"18"	"MNDA"	"M1"
"19"	"LYZ"	"M1"
"20"	"GLUL"	"M1"
"21"	"VNN2"	"M1"
"22"	"VSIR"	"M1"
"23"	"MXD1"	"M1"
"24"	"NCF2"	"M1"
"25"	"CD55"	"M1"
"26"	"SDCBP"	"M1"
"27"	"RIPOR2"	"M1"
"28"	"S100A11"	"M1"
"29"	"HSP90AB1"	"M1"
"30"	"HSPA1A"	"M1"
"31"	"RPS18"	"M1"
"32"	"TSC22D3"	"M1"
"33"	"ARRB2"	"M1"
"34"	"SERPINA1"	"M1"
"35"	"SELPLG"	"M1"
"36"	"X.45"	"M1"
"37"	"GBP2"	"M1"
"38"	"PTMA"	"M1"
"39"	"HSPA1B"	"M1"
"40"	"FPR1"	"M1"
"41"	"MYO1F"	"M1"
"42"	"TUBB"	"M2"
"43"	"FLOT2"	"M1"
"44"	"SPI1"	"M1"
"45"	"ITGAX"	"M1"
"46"	"RTN3"	"M1"
"47"	"GCA"	"M1"
"48"	"ABTB1"	"M1"
"49"	"IFITM3"	"M1"
"50"	"MMP25"	"M1"
"51"	"AQP9"	"M1"
"52"	"MPP1"	"M1"
"53"	"SLC11A1"	"M1"
"54"	"RNF149"	"M1"
"55"	"FCGR2A"	"M1"
"56"	"CXCR4"	"M1"
"57"	"PXN"	"M1"
"58"	"S100A8"	"M1"
"59"	"PHC2"	"M1"
"60"	"FCGR3B"	"M1"
"61"	"DUSP1"	"M1"
"62"	"MBOAT7"	"M1"
"63"	"DDIT4"	"M2"
"64"	"NIBAN1"	"M1"
"65"	"MMP9"	"M1"
"66"	"FGD3"	"M1"
"67"	"APLP2"	"M1"
"68"	"ALOX5AP"	"M1"
"69"	"NCF4"	"M1"
"70"	"CYTH4"	"M1"
"71"	"BCL6"	"M1"
"72"	"JAML"	"M1"
"73"	"HCK"	"M1"
"74"	"BIN2"	"M1"
"75"	"TMPO"	"Not.Correlated"
"76"	"FBXL5"	"M1"
"77"	"DNAJB1"	"M1"
"78"	"ANXA1"	"M1"
"79"	"RPL23"	"M1"
"80"	"SLC6A6"	"M1"
"81"	"SERPINB1"	"M1"
"82"	"RNF24"	"M1"
"83"	"MSRB1"	"M1"
"84"	"S100A6"	"M1"
"85"	"HBD"	"M1"
"86"	"IRAK3"	"M1"
"87"	"PYGL"	"M1"
"88"	"S100A4"	"M1"
"89"	"LCP2"	"M1"
"90"	"STOM"	"M1"
"91"	"YPEL3"	"M1"
"92"	"PLIN2"	"M1"
"93"	"ALAS2"	"M1"
"94"	"RPS17"	"M1"
"95"	"METTL9"	"M1"
"96"	"LRRK2"	"M1"
"97"	"ACTN1"	"M1"
"98"	"RPL31"	"M1"
"99"	"FCER1G"	"M1"
"100"	"TLR2"	"M1"
"101"	"NINJ1"	"M1"
"102"	"CXCR1"	"M1"
"103"	"GYG1"	"M1"
"104"	"VCAN"	"M1"
"105"	"RGS2"	"M1"
"106"	"CST7"	"M1"
"107"	"IL17RA"	"M1"
"108"	"HSPD1"	"M1"
"109"	"SLC12A9"	"M1"
"110"	"HLA.DQB1"	"M1"
"111"	"CCL5"	"M1"
"112"	"C5AR1"	"M1"
"113"	"ITGAM"	"M1"
"114"	"MKNK1"	"M1"
"115"	"FOSL2"	"M1"
"116"	"APOBR"	"M1"
"117"	"CPD"	"M1"
"118"	"TYROBP"	"M1"
"119"	"HSPA6"	"M1"
"120"	"MYADM"	"M1"
"121"	"IL1R2"	"M1"
"122"	"EMB"	"M1"
"123"	"MIF"	"M1"
"124"	"CEBPB"	"M1"
"125"	"MS4A1"	"M1"
