,uniprot1,uniprot2,symbol1,symbol2,methods,pids,ndb,dbs,exp,go1,go2
0,Q13472,Q96E14,TOP3A,RMI2,"affinity chromatography technology, anti tag coimmunoprecipitation","20826341, 20826342, 26186194, 28514442",4,"biogrid, dip, intact",exp,"GO:0016605, GO:0051321, GO:0005634, GO:0005654, GO:0006265, GO:0003917, GO:0003916, GO:0006260, GO:0008270, GO:0005515, GO:0003677, GO:0005694","GO:0016607, GO:0033045, GO:2000042, GO:0006281, GO:0005829, GO:0005654, GO:0006974, GO:0006260, GO:0003677, GO:0005634"
2,P40692,Q8NA61,MLH1,SPERT,"barcode fusion genetics two hybrid, two hybrid, two hybrid array, two hybrid bait and prey pooling approach, two hybrid prey pooling approach, validated two hybrid","21516116, 25416956, 25910212, 27107012",4,"biogrid, intact, mint",exp,"GO:0032389, GO:0045190, GO:0006298, GO:0016887, GO:0007060, GO:0048304, GO:0006303, GO:0000289, GO:0005715, GO:0005634, GO:0016020, GO:0007129, GO:0005712, GO:0005654, GO:0043060, GO:0045950, GO:0032137, GO:0048477, GO:0003697, GO:0005524, GO:0048298, GO:0006281, GO:0016321, GO:0006974, GO:0007283, GO:0000795, GO:0045141, GO:0001673, GO:0008630, GO:0000712, GO:0032407, GO:0051257, GO:0032300, GO:0005515, GO:0003682, GO:0016446","GO:0005737, GO:0036064, GO:0060271, GO:0031410, GO:0005814, GO:1905349, GO:0005515, GO:0030178"
3,P13726,Q8NB91,F3,FANCB,-,"11307801, 11601848, 8609606, 9480775",4,hprd,exp,"GO:0004252, GO:0007598, GO:0007596, GO:0050927, GO:0010641, GO:0019221, GO:0005615, GO:0051897, GO:0016021, GO:0005543, GO:0045766, GO:0002020, GO:0004896, GO:0030335, GO:0006919, GO:0009986, GO:0062023, GO:0005886, GO:0016485, GO:0031233, GO:1905286, GO:0002541, GO:0002543, GO:0001938, GO:0005515","GO:1905168, GO:0005654, GO:2000042, GO:0006281, GO:0036297, GO:0006974, GO:0005515, GO:1990414, GO:0043240"
4,O75771,Q9Y2J4,RAD51D,AMOTL2,"two hybrid, two hybrid array, two hybrid bait and prey pooling approach, two hybrid prey pooling approach, validated two hybrid","21516116, 25416956, 25910212",3,"biogrid, intact, mint",exp,"GO:0033063, GO:0000781, GO:0000784, GO:0003677, GO:0000723, GO:0000724, GO:0005813, GO:0005634, GO:0000707, GO:0005654, GO:0005657, GO:0003697, GO:0005524, GO:0005737, GO:0006281, GO:0006289, GO:0006974, GO:0042148, GO:0007131, GO:0008094, GO:0000400, GO:0051726, GO:0036297, GO:0005515, GO:0043015","GO:0003365, GO:0016324, GO:0031410, GO:0055037, GO:0016055, GO:0030036, GO:0005923, GO:0030334, GO:0005515, GO:0005886, GO:0035329, GO:0001525, GO:0005829, GO:0042802"
12,Q8N5I9,Q9Y265,C12orf45,RUVBL1,affinity chromatography technology,"17643375, 28514442, 28561026",3,biogrid,exp,,"GO:0034080, GO:0090263, GO:0017025, GO:0031011, GO:1904874, GO:0035267, GO:0016887, GO:0003678, GO:0007049, GO:0001094, GO:0070062, GO:0005634, GO:0016020, GO:0003713, GO:0005815, GO:0005654, GO:1904837, GO:0016573, GO:0043141, GO:0016363, GO:0016579, GO:0071339, GO:0005524, GO:1903508, GO:0043967, GO:0043968, GO:0004003, GO:0032508, GO:0006974, GO:0045296, GO:0007283, GO:0043531, GO:0006281, GO:0006310, GO:0000492, GO:0006338, GO:0051117, GO:0051301, GO:0005829, GO:1990904, GO:0097255, GO:0000812, GO:0006357, GO:0006351, GO:0005515, GO:0040008"
14,P09874,P10144,PARP1,GZMB,protease assay,"12745270, 16798735, 9586635",3,"bci, hprd, iid-pred, innatedb","exp, pred","GO:0044030, GO:0006294, GO:0006296, GO:0006293, GO:0032042, GO:0006471, GO:0051287, GO:0034644, GO:0019899, GO:2001170, GO:1903827, GO:0000724, GO:0023019, GO:0042769, GO:0000784, GO:0070911, GO:0003677, GO:0032869, GO:0003950, GO:0043504, GO:0000715, GO:0007005, GO:0000723, GO:0016020, GO:0071294, GO:0006302, GO:0000122, GO:0030331, GO:0018312, GO:0005634, GO:0005635, GO:0033683, GO:0005739, GO:0005654, GO:0030225, GO:0045944, GO:0070412, GO:0006366, GO:1904646, GO:1990404, GO:0042826, GO:0010332, GO:0042802, GO:0000977, GO:0006915, GO:0005667, GO:1903518, GO:0006281, GO:0008134, GO:0050790, GO:0033148, GO:0006974, GO:1904357, GO:0036211, GO:0070212, GO:1901216, GO:0032991, GO:0034599, GO:0007179, GO:0010613, GO:1900182, GO:1904044, GO:0032993, GO:0047485, GO:0016540, GO:0005730, GO:0060391, GO:0010990, GO:0019901, GO:0051901, GO:0003723, GO:0005515, GO:0001228, GO:1904762, GO:1990966, GO:1903376, GO:2000679, GO:0008270","GO:0019835, GO:0004252, GO:0042267, GO:0043231, GO:0005634, GO:0016020, GO:0005739, GO:0005737, GO:1900740, GO:0001772, GO:0005515, GO:0006955, GO:0006508, GO:0008626, GO:0005829, GO:0006915, GO:0008236"
16,Q8IWY9,Q9Y294,CDAN1,ASF1A,"affinity chromatography technology, anti tag coimmunoprecipitation, pull down","22407294, 26496610, 28514442",3,"biogrid, intact, mint",exp,"GO:0005737, GO:0005829, GO:0008104, GO:0005515, GO:0006325, GO:0016021, GO:0008156, GO:0012505, GO:0031497, GO:0005886, GO:0005634","GO:0031936, GO:0005654, GO:0042393, GO:0032991, GO:0006281, GO:0006336, GO:0005634, GO:0006335, GO:0006974, GO:0000790, GO:0006351, GO:0005515, GO:0003682, GO:0042692, GO:0006334, GO:0001649"
18,P09874,P55210,PARP1,CASP7,"enzymatic study, protease assay","18723680, 22451931, 9875225",3,"bci, biogrid, i2d, iid-pred, innatedb","exp, pred","GO:0044030, GO:0006294, GO:0006296, GO:0006293, GO:0032042, GO:0006471, GO:0051287, GO:0034644, GO:0019899, GO:2001170, GO:1903827, GO:0000724, GO:0023019, GO:0042769, GO:0000784, GO:0070911, GO:0003677, GO:0032869, GO:0003950, GO:0043504, GO:0000715, GO:0007005, GO:0000723, GO:0016020, GO:0071294, GO:0006302, GO:0000122, GO:0030331, GO:0018312, GO:0005634, GO:0005635, GO:0033683, GO:0005739, GO:0005654, GO:0030225, GO:0045944, GO:0070412, GO:0006366, GO:1904646, GO:1990404, GO:0042826, GO:0010332, GO:0042802, GO:0000977, GO:0006915, GO:0005667, GO:1903518, GO:0006281, GO:0008134, GO:0050790, GO:0033148, GO:0006974, GO:1904357, GO:0036211, GO:0070212, GO:1901216, GO:0032991, GO:0034599, GO:0007179, GO:0010613, GO:1900182, GO:1904044, GO:0032993, GO:0047485, GO:0016540, GO:0005730, GO:0060391, GO:0010990, GO:0019901, GO:0051901, GO:0003723, GO:0005515, GO:0001228, GO:1904762, GO:1990966, GO:1903376, GO:2000679, GO:0008270","GO:0005737, GO:0097200, GO:0097153, GO:0005829, GO:0097194, GO:0005634, GO:0006915, GO:0005654, GO:0004197, GO:0072734, GO:0005515, GO:0006508, GO:0008233, GO:0008234"
19,Q13105,Q92547,ZBTB17,TOPBP1,"affinity chromatography technology, anti bait coimmunoprecipitation, pull down, two hybrid","12408820, 17006541, 18923429",3,"bci, biogrid, hprd, iid-pred, intact, mint","exp, pred","GO:0001702, GO:0008285, GO:0032991, GO:0001047, GO:0001223, GO:0007398, GO:0003700, GO:0032993, GO:0008134, GO:0005654, GO:0001228, GO:0071158, GO:0036498, GO:0001077, GO:0045944, GO:0005515, GO:0006366, GO:0045786, GO:0000978, GO:0046872, GO:0000981","GO:0005737, GO:0033314, GO:0008022, GO:0016604, GO:0010212, GO:0005515, GO:0006281, GO:0005634, GO:0005654, GO:0016605, GO:0000922, GO:0006974, GO:0000794, GO:0003677, GO:0006259, GO:0005815, GO:0005694, GO:0001673, GO:0042802, GO:0015629"
21,Q96Q15,Q9H1J1,SMG1,UPF3A,"affinity chromatography technology, anti bait coimmunoprecipitation, anti tag coimmunoprecipitation","11544179, 16452507, 18256688",3,"bci, biogrid, hprd, iid-pred, intact, mint","exp, pred","GO:0005737, GO:0005654, GO:0000184, GO:0005829, GO:0006281, GO:0032204, GO:0005634, GO:0016301, GO:0042162, GO:0005524, GO:0006974, GO:0004674, GO:0018105, GO:0003723, GO:0005515, GO:0046854, GO:2001020, GO:0004672, GO:0046872, GO:0046777, GO:0006406","GO:0005737, GO:0035145, GO:0000184, GO:0043231, GO:0005730, GO:0042162, GO:0005634, GO:0006913, GO:0017056, GO:0003723, GO:0005515, GO:0051028, GO:0045727, GO:0005829, GO:0003729"
