PROTID;GENEID;DEFLINE;NumExp;Total;FREQ;ALL_NUMSPECSTOT;ALL_NUMSPECSUNIQ
NP_005336.3;HSPA1A;heat shock 70 kDa protein 1A/1B [Homo sapiens];334;334;0.973761;13641;5355
NP_005518.3;HSPA1L;heat shock 70 kDa protein 1-like [Homo sapiens];330;334;0.962099;7065;4
NP_006588.1;HSPA8;heat shock cognate 71 kDa protein isoform 1 [Homo sapiens];330;334;0.962099;12287;9630
NP_006112.3;KRT1;keratin, type II cytoskeletal 1 [Homo sapiens];325;334;0.947522;29294;28989
NP_068814.2;HSPA2;heat shock-related 70 kDa protein 2 [Homo sapiens];322;334;0.938776;5001;2399
NP_006073.2;TUBA1B;tubulin alpha-1B chain [Homo sapiens];321;334;0.93586;11642;11642
NP_116093.1;TUBA1C;tubulin alpha-1C chain [Homo sapiens];321;334;0.93586;11001;11001
NP_002146.2;HSPA6;heat shock 70 kDa protein 6 [Homo sapiens];318;334;0.927114;4220;312
NP_005992.1;TUBA3C;tubulin alpha-3C/D chain [Homo sapiens];318;334;0.927114;8519;8519
NP_821133.1;TUBB;tubulin beta chain [Homo sapiens];317;334;0.924198;11358;11358
NP_005991.1;TUBA4A;tubulin alpha-4A chain [Homo sapiens];313;334;0.912536;8109;8109
NP_006079.1;TUBB4B;tubulin beta-2C chain [Homo sapiens];313;334;0.912536;9308;9308
NP_001060.1;TUBB2A;tubulin beta-2A chain [Homo sapiens];309;334;0.900875;8160;8160
NP_821080.1;TUBB2B;tubulin beta-2B chain [Homo sapiens];309;334;0.900875;8231;8231
NP_005338.1;HSPA5;78 kDa glucose-regulated protein precursor [Homo sapiens];306;334;0.892128;4422;3237
NP_000414.2;KRT2;keratin, type II cytoskeletal 2 epidermal [Homo sapiens];303;334;0.883382;15183;13080
NP_001092.1;ACTB;actin, cytoplasmic 1 [Homo sapiens];302;334;0.880466;12120;12120
NP_006077.2;TUBB3;tubulin beta-3 chain isoform 1 [Homo sapiens];302;334;0.880466;5945;5945
NP_006078.2;TUBB4A;tubulin beta-4 chain [Homo sapiens];302;334;0.880466;6798;6798
NP_000412.3;KRT10;keratin, type I cytoskeletal 10 [Homo sapiens];301;334;0.877551;23584;22390
NP_001091.1;ACTA1;actin, alpha skeletal muscle [Homo sapiens];295;334;0.860058;6532;6532
NP_001135417.1;ACTA2;actin, aortic smooth muscle [Homo sapiens];293;334;0.854227;5912;5912
NP_001393.1;EEF1A1;elongation factor 1-alpha 1 [Homo sapiens];290;334;0.845481;5109;1980
NP_001077007.1;POTEE;POTE ankyrin domain family member E [Homo sapiens];288;334;0.83965;4148;4148
NP_000217.2;KRT9;keratin, type I cytoskeletal 9 [Homo sapiens];287;334;0.836735;16809;16552
NP_001949.1;EEF1A2;elongation factor 1-alpha 2 [Homo sapiens];283;334;0.825073;3142;13
NP_005546.2;KRT6B;keratin, type II cytoskeletal 6B [Homo sapiens];278;334;0.810496;7015;5053
NP_778253.2;KRT77;keratin, type II cytoskeletal 1b [Homo sapiens];274;334;0.798834;2353;1952
NP_001017992.1;ACTBL2;beta-actin-like protein 2 [Homo sapiens];266;334;0.77551;2829;2829
NP_115914.1;TUBB6;tubulin beta-6 chain [Homo sapiens];258;334;0.752187;2985;2985
NP_000517.2;KRT14;keratin, type I cytoskeletal 14 [Homo sapiens];255;334;0.74344;7000;5806
NP_005545.1;KRT6A;keratin, type II cytoskeletal 6A [Homo sapiens];255;334;0.74344;5908;3946
NP_005548.2;KRT16;keratin, type I cytoskeletal 16 [Homo sapiens];251;334;0.731778;6152;4958
NP_004125.3;HSPA9;stress-70 protein, mitochondrial precursor [Homo sapiens];249;334;0.725948;3545;3538
NP_000415.2;KRT5;keratin, type II cytoskeletal 5 [Homo sapiens];244;334;0.71137;6547;4585
NP_005310.1;HIST1H1C;histone H1.2 [Homo sapiens];240;334;0.699708;2251;87
NP_005312.1;HIST1H1E;histone H1.4 [Homo sapiens];239;334;0.696793;2249;84
NP_005311.1;HIST1H1D;histone H1.3 [Homo sapiens];239;334;0.696793;2141;1
NP_002267.2;KRT19;keratin, type I cytoskeletal 19 [Homo sapiens];233;334;0.6793;3002;1666
NP_853515.2;KRT27;keratin, type I cytoskeletal 27 [Homo sapiens];231;334;0.673469;2235;2235
NP_004684.2;KRT75;keratin, type II cytoskeletal 75 [Homo sapiens];230;334;0.670554;2658;997
NP_000413.1;KRT17;keratin, type I cytoskeletal 17 [Homo sapiens];228;334;0.664723;3880;2643
NP_001035807.1;HIST2H2AA4;histone H2A type 2-A [Homo sapiens];223;334;0.650146;2507;2507
NP_002131.2;HNRNPK;heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens];223;334;0.650146;3012;3012
NP_002266.2;KRT15;keratin, type I cytoskeletal 15 [Homo sapiens];223;334;0.650146;2723;1529
NP_003504.2;HIST1H2AB;histone H2A type 1-B/E [Homo sapiens];223;334;0.650146;2423;2423
NP_001129064.1;RPS27A;ubiquitin-40S ribosomal protein S27a precursor [Homo sapiens];222;334;0.64723;1413;1413
NP_787028.1;KRT79;keratin, type II cytoskeletal 79 [Homo sapiens];221;334;0.644315;2297;11
NP_004492.2;HNRNPU;heterogeneous nuclear ribonucleoprotein U isoform b [Homo sapiens];220;334;0.641399;3498;8
NP_114032.2;HNRNPU;heterogeneous nuclear ribonucleoprotein U isoform a [Homo sapiens];220;334;0.641399;3543;53
NP_002264.1;KRT8;keratin, type II cytoskeletal 8 [Homo sapiens];218;334;0.635569;3921;3062
NP_705694.2;KRT13;keratin, type I cytoskeletal 13 isoform a [Homo sapiens];216;334;0.629738;2858;1921
NP_031381.2;HSP90AB1;heat shock protein HSP 90-beta [Homo sapiens];215;334;0.626822;5306;2620
NP_000215.1;KRT18;keratin, type I cytoskeletal 18 [Homo sapiens];213;334;0.620991;2850;1732
NP_001029102.1;UBA52;ubiquitin-60S ribosomal protein L40 precursor [Homo sapiens];211;334;0.61516;1371;1371
NP_056932.2;KRT76;keratin, type II cytoskeletal 2 oral [Homo sapiens];211;334;0.61516;2351;1038
NP_001017963.2;HSP90AA1;heat shock protein HSP 90-alpha isoform 1 [Homo sapiens];210;334;0.612245;5028;2561
NP_003371.2;VIM;vimentin [Homo sapiens];209;334;0.609329;8260;8075
NP_002127.1;HNRNPA1;heterogeneous nuclear ribonucleoprotein A1 isoform a [Homo sapiens];207;334;0.603499;1622;1571
NP_000996.2;RPS3;40S ribosomal protein S3 [Homo sapiens];206;334;0.600583;2397;2397
NP_112533.1;HNRNPA2B1;heterogeneous nuclear ribonucleoproteins A2/B1 isoform B1 [Homo sapiens];205;334;0.597668;2267;2216
NP_005372.2;NCL;nucleolin [Homo sapiens];202;334;0.588921;2741;2741
NP_001020241.1;RPS14;40S ribosomal protein S14 [Homo sapiens];201;334;0.586006;880;880
NP_005511.1;HNRNPH1;heterogeneous nuclear ribonucleoprotein H [Homo sapiens];200;334;0.58309;3142;1041
NP_072045.1;RPS18;40S ribosomal protein S18 [Homo sapiens];199;334;0.580175;1182;1182
NP_001189360.1;PRDX1;peroxiredoxin-1 [Homo sapiens];198;334;0.577259;1279;803
NP_002037.2;GAPDH;glyceraldehyde-3-phosphate dehydrogenase [Homo sapiens];198;334;0.577259;2034;1985
NP_000969.1;RPL23;60S ribosomal protein L23 [Homo sapiens];196;334;0.571429;1014;1014
NP_002263.3;KRT4;keratin, type II cytoskeletal 4 [Homo sapiens];193;334;0.562682;1046;729
NP_002645.3;PKM;pyruvate kinase isozymes M1/M2 isoform a [Homo sapiens];191;334;0.556851;3064;3064
NP_001165335.1;TUBAL3;tubulin alpha chain-like 3 isoform 2 [Homo sapiens];189;334;0.55102;716;716
NP_002511.1;NPM1;nucleophosmin isoform 1 [Homo sapiens];189;334;0.55102;1442;1442
NP_004550.2;YBX1;nuclease-sensitive element-binding protein 1 [Homo sapiens];189;334;0.55102;1365;1365
NP_001027565.1;HNRNPH2;heterogeneous nuclear ribonucleoprotein H2 [Homo sapiens];188;334;0.548105;1539;170
NP_004387.1;DDX5;probable ATP-dependent RNA helicase DDX5 [Homo sapiens];188;334;0.548105;1662;896
NP_002096.1;H2AFX;histone H2A.x [Homo sapiens];186;334;0.542274;1513;1513
NP_000998.1;RPS4X;40S ribosomal protein S4, X isoform X isoform [Homo sapiens];185;334;0.539359;1874;1874
NP_001091974.1;DDX17;probable ATP-dependent RNA helicase DDX17 isoform 3 [Homo sapiens];183;334;0.533528;1654;888
NP_000975.2;RPL23A;60S ribosomal protein L23a [Homo sapiens];182;334;0.530612;1006;1006
NP_066402.2;HIST1H2BJ;histone H2B type 1-J [Homo sapiens];180;334;0.524781;3088;3088
